postdistrict,section,day,starttime,endtime
AL5,Guides,Friday,7:30pm,9:00pm
SG5,Rainbows,Tuesday,5:15pm,6:15pm
SG5,Rainbows,Tuesday,5:15pm,6:15pm
SG5,Brownies,Tuesday,6:30pm,7:30pm
SG1,Guides,Friday,7:00pm,9:00pm
AL1,Rainbows,Thursday,4:30pm,5:45pm
HP23,Brownies,Thursday,6:00pm,7:15pm
SG7,Brownies,Monday,6:00pm,7.30pm
SG2,Brownies,Monday,6:00pm,7:30pm
SG2,Brownies,Monday,6:00pm,7:30pm
WD5,Brownies,Monday,6:00pm,7:30pm
EN10,Brownies,Tuesday,6:15pm,7:30pm
EN10,Guides,Wednesday,7:00pm,8:30pm
SG2,Guides,Tuesday,6:00pm,8:00pm
SG3,Brownies,Monday,6:15pm,7:30pm
SG1,Guides,Wednesday,7:30pm,9:00pm
SG1,Rainbows,Friday,5:00pm,6:00pm
HP2,Guides,Tuesday,6:00pm,7:30pm
HP2,Guides,Monday,5:00pm,7:30pm
HP2,Guides,Monday,6:00pm,7:30pm
AL8,Rangers,Monday,7:30pm,9:00pm
HP1,Brownies,Monday,6:00pm,7:30pm
HP1,Brownies,Monday,6:00pm,7:30pm
WD4,Guides,Thursday,7:00pm,8:30pm
HP2,Brownies,Monday,6.30pm,8:00pm
SG11,Guides,Wednesday,7:00pm,8:30pm
CM23,Brownies,Wednesday,5:30pm,7:00pm
HP2,Rainbows,Tuesday,4:45pm,5:45pm
AL7,Rainbows,Tuesday,5:00pm,6:00pm
HP1,Brownies,Tuesday,6:00pm,7.30pm
HP1,Guides,Thursday,7:30pm,9:00pm
SG4,Brownies,Wednesday,6:00pm,7:15pm
HP23,Brownies,Tuesday,6:00pm,7:30pm
AL5,Rainbows,Tuesday,4:00pm,5:00pm
SG1,Rainbows,Friday,6:30pm,7:30pm
CM23,Guides,Monday,7:30pm,9:00pm
EN8,Rainbows,Tuesday,5:15pm,6:15pm
HP3,Brownies,Tuesday,6:15pm,7:45pm
SG5,Rainbows,Wednesday,4:30pm,5:30pm
WD3,Guides,Friday,7:00pm,9:00pm
HP23,Brownies,Thursday,6:00pm,7.15pm
AL1,Brownies,Wednesday,5:45pm,7:15pm
AL7,Rainbows,Wednesday,5:30pm,6:30pm
AL5,Rainbows,Friday,4:30pm,5:30pm
SG1,Rainbows,Tuesday,5:45pm,6:45pm
AL7,Rainbows,Monday,5:15pm,6:15pm
AL5,Brownies,Tuesday,5:30pm,6:45pm
SG5,Brownies,Thursday,6:30pm,7:45pm
AL8,Guides,Monday,7:30pm,9:00pm
SG5,Guides,Thursday,7:00pm,9:00pm
AL1,Guides,Wednesday,7:30pm,9:00pm
SG1,Guides,Monday,7:30pm,9:00pm
SG13,Brownies,Tuesday,6:00pm,7:30pm
SG13,Rainbows,Monday,5:15pm,7:30pm
CM21,Brownies,Thursday,5:30pm,7:00pm
CM21,Rangers,Sunday,6:30pm,8:15pm
CM21,Rainbows,Monday,4:30pm,5:30pm
WD17,Brownies,Friday,5:45pm,7:15pm
